ÉtÉãÅ[Éhêî,èoâÔÇ¢äp,É…/L,îgé¸îgêî,èoâÔÇ¢îgé¸îgêî,surgeêUïù,surgeà ëä,swayêUïù,swayà ëä,heaveêUïù,heaveà ëä,rollêUïù,rollà ëä,pitchêUïù,pitchà ëä,rawêUïù,rawà ëä,ÇPÇPècã»Ç∞ÉÇÅ[ÉÅÉìÉg,,Hv,min,max,min,max
0.176,0,0.0267,2.57,-4.36,0.000418,159,0,0,0.000152,145,0,0,0.000466,94.2,0,0,0,-51.2,0.00E+00,1.047197551,2.094,0.628318531,2.094
0.176,0,0.0274,2.54,-4.23,0.000405,-56.2,0,0,0.000304,-135,0,0,0.000453,-111,0,0,0,38.4,1.00E+00,1.047197551,2.094,0.523599,2.094
0.176,0,0.028,2.51,-4.1,0.000412,89.1,0,0,0.000322,17.2,0,0,0.000393,10.8,0,0,0,-169,2.00E+00,1.047197551,2.094,0.448798951,2.094
0.176,0,0.0287,2.48,-3.97,0.000403,-125,0,0,0.000302,142,0,0,0.000449,140,0,0,0,-31.3,3.00E+00,1.047197551,2.094,0.41887902,2.094
0.176,0,0.0294,2.45,-3.85,0.000369,16.5,0,0,0.000253,-77.7,0,0,0.000416,-77.6,0,0,0,111,4.00E+00,1.047197551,2.094,0.41887902,2.094
0.176,0,0.0301,2.42,-3.73,0.000357,151,0,0,0.000266,19.8,0,0,0.000379,31.6,0,0,0,-154,5.00E+00,1.047197551,1.5708,0.41887902,1.5708
0.176,0,0.0309,2.39,-3.6,0.000359,-72.5,0,0,0.000241,151,0,0,0.000302,151,0,0,0,-19.8,6.00E+00,1.047197551,1.2566,0.41887902,1.2566
0.176,0,0.0317,2.36,-3.48,0.000361,68.1,0,0,0.000249,-83.1,0,0,0.000393,-80.1,0,0,0,111,7.00E+00,1.047197551,1.2566,0.41887902,1.2566
0.176,0,0.0325,2.33,-3.37,0.000316,-153,0,0,0.000194,17.8,0,0,0.000256,31.3,0,0,50,-149,8.00E+00,1.047197551,1.2566,0.41887902,1.2566
0.176,0,0.0334,2.3,-3.25,0.000277,-21.5,0,0,0.000174,125,0,0,0.000189,127,0,0,60,-41.3,9.00E+00,0.41887902,1.047197551,0.41887902,1.047197551
0.176,0,0.0342,2.27,-3.14,0.000299,108,0,0,0.000152,-137,0,0,0.000183,-139,0,0,90,48.8,1.00E+01,0.448798951,1.047197551,0.448798951,1.047197551
0.176,0,0.0352,2.24,-3.02,0.000297,-110,0,0,0.000191,-36.6,0,0,0.000223,-40.5,0,0,120,127,1.10E+01,0.483321947,1.047197551,0.483321947,1.047197551
0.176,0,0.0361,2.21,-2.91,0.00025,22.2,0,0,0.000262,61.1,0,0,0.000333,50.1,0,0,150,-132,1.20E+01,0.483321947,0.897597901,0.483321947,0.897597901
0.176,0,0.0371,2.18,-2.81,0.000264,143,0,0,0.000332,167,0,0,0.000488,158,0,0,180,-25.4,1.30E+01,0.523598776,0.628318531,0.523598776,0.628318531
0.176,0,0.0382,2.15,-2.7,0.000314,-86.3,0,0,0.00038,-89.8,0,0,0.000525,-94,0,0,210,80.6,1.40E+01,0.523598776,0.628318531,0.523598776,0.628318531
0.176,0,0.0393,2.12,-2.6,0.000279,46.8,0,0,0.000458,36.1,0,0,0.000641,30.5,0,0,240,-148,,,,,
0.176,0,0.0404,2.09,-2.49,0.000296,151,0,0,0.000481,126,0,0,0.000684,120,0,0,270,-57.7,,,,,
0.176,0,0.0416,2.06,-2.39,0.00043,-79.5,0,0,0.000468,-139,0,0,0.000733,-132,0,0,300,36.4,,,,,
0.176,0,0.0428,2.03,-2.29,0.000404,45.4,0,0,0.000648,-26.9,0,0,0.000714,-49.2,0,0,330,168,,,,,
0.176,0,0.0441,2,-2.2,0.000566,152,0,0,0.000507,19.5,0,0,0.00075,71.2,0,0,360,-159,,,,,
0.176,0,0.0455,1.97,-2.1,0.00157,-109,0,0,0.000793,177,0,0,0.000831,107,0,0,390,21.3,,,,,
0.176,0,0.0469,1.94,-2.01,0.00149,51.7,0,0,0.000949,-177,0,0,0.00074,-81.8,0,0,420,8.5,,,,,
0.176,0,0.0484,1.91,-1.92,0.0117,83.2,0,0,0.000753,18.6,0,0,0.00167,-83.8,0,0,450,-110,,,,,
0.176,0,0.0499,1.88,-1.83,0.0197,91.3,0,0,0.00207,8.96,0,0,0.000196,177,0,0,500,-171,,,,,
0.176,0,0.0516,1.85,-1.74,0.0155,96.3,0,0,0.000398,-26.9,0,0,0.00237,102,0,0,550,161,,,,,
0.176,0,0.0533,1.82,-1.66,0.00476,95.4,0,0,0.00205,-154,0,0,0.00122,112,0,0,600,18.5,,,,,
0.176,0,0.0551,1.79,-1.57,0.00147,-77.9,0,0,0.00141,-151,0,0,0.00217,-69,0,0,650,22.4,,,,,
0.176,0,0.057,1.76,-1.49,0.00208,-93.2,0,0,0.00131,40.5,0,0,0.00212,-44.6,0,0,700,-150,,,,,
0.176,0,0.059,1.73,-1.41,0.00119,-32.5,0,0,0.00173,58.7,0,0,0.00139,106,0,0,750,-125,,,,,
0.176,0,0.0611,1.7,-1.33,0.00207,42.8,0,0,0.000496,-155,0,0,0.00225,155,0,0,800,30.9,,,,,
0.176,0,0.0633,1.67,-1.26,0.00198,137,0,0,0.00125,-104,0,0,0.00101,-92,0,0,850,73.3,,,,,
0.176,0,0.0656,1.64,-1.18,0.00294,-146,0,0,0.000326,-9.14,0,0,0.0017,-9.45,0,0,900,-151,,,,,
0.176,0,0.0681,1.61,-1.11,0.00285,-48.7,0,0,0.000534,96.3,0,0,0.000899,110,0,0,950,-76.5,,,,,
0.176,0,0.0707,1.58,-1.04,0.00393,30.1,0,0,0.000502,-82.2,0,0,0.00132,-157,0,0,1000,62.2,,,,,
0.176,0,0.0734,1.55,-0.971,0.00391,124,0,0,0.000541,15,0,0,0.00189,-21.8,0,0,1050,133,,,,,
0.176,0,0.0764,1.52,-0.905,0.00485,-154,0,0,0.00217,115,0,0,0.00261,49.5,0,0,1100,-93.5,,,,,
0.176,0,0.0795,1.49,-0.84,0.00552,-63,0,0,0.00243,-165,0,0,0.00498,153,0,0,1150,-36.5,,,,,
0.176,0,0.0828,1.46,-0.777,0.00633,12.6,0,0,0.00639,-85.1,0,0,0.00651,-151,0,0,1200,78.7,,,,,
0.176,0,0.0863,1.43,-0.716,0.00716,105,0,0,0.00804,-22.6,0,0,0.00925,-66.1,0,0,1250,127,,,,,
0.176,0,0.09,1.4,-0.657,0.00845,176,0,0,0.0146,35.9,0,0,0.0098,-24.1,0,0,1300,-109,,,,,
0.176,0,0.094,1.37,-0.6,0.00907,-91.6,0,0,0.0142,80.8,0,0,0.00977,68.3,0,0,1400,-65,,,,,
0.176,0,0.0983,1.34,-0.544,0.0122,-22.3,0,0,0.0149,144,0,0,0.00987,115,0,0,1440,97.3,,,,,
0.176,0,0.103,1.31,-0.491,0.0125,62.4,0,0,0.0129,-163,0,0,0.00911,-147,0,0,1500,125,,,,,
0.176,0,0.108,1.28,-0.439,0.0184,130,0,0,0.0108,-85.4,0,0,0.0114,-99.7,0,0,1520,-94.4,,,,,
